Verb,mw export,before,after,before,after,lojbo,Verb,Basic selbrivla?,Semantic class,Semantic class,Semantic class,English Frame,pre,x1,1,x2,2,x3,3,x4,4,x5,post,explanation,place1,place2,place3,place4,place5,related words,x1 type,x2 type,x3 type,x4 type,x5 type,verb1,verb2,verb3,Shown arity less than official?,English 2002's official definition,official arity
cenba,"
'''cenba''' — ''x<sub>1</sub><sub>(entity)</sub>''  varies in  ''x<sub>2</sub><sub>(property of x1)</sub>''  in amount  ''x<sub>3</sub><sub>(entity)</sub>''  ...
:'''lo cenba''' — variable. 
:'''i do cenba lo ka ma kau se cpedu vau lo barda''' — ''Your demands vary to much degree.''
:Comment: {binxo} describes that entity turns into another entity, {galfi} is @@@to turn one entity into another one@@@. {cenba} describes how entity changes its state while remaining the same entity, {stika} is @@@to make entity change its state@@@.
:Related words: {cenba}, {galfi}, {stika}, {stodi}, {zasni}, {binxo}",,,,,x1 binxo lo frica be x1 bei x2 se la'u x3 .i x1 zenba ja jdika x2 x3,cenba,yes,Actions. Event changes,Measures. Amounts,,,,x<sub>1</sub>,varies in ,x<sub>2</sub>,in amount ,x<sub>3</sub>,,,,,,"{binxo} describes that entity turns into another entity, {galfi} is @@@to turn one entity into another one@@@. {cenba} describes how entity changes its state while remaining the same entity, {stika} is @@@to make entity change its state@@@.",variable,,,,,"{cenba}, {galfi}, {stika}, {stodi}, {zasni}, {binxo}",entity,property of x1,entity,,,vary [to],,, ...,"x1 varies/changes in property/quantity x2 (ka/ni) in amount/degree x3 under conditions x4 ||| [non-resultative, not-necessarily causal change]; (cf. cenba which is non-resultative, galfi which is resultative and causal, stika which is non-resultative and causal; stodi, zasni, binxo)",4
censa,"
'''censa''' — ''x<sub>1</sub><sub>(entity)</sub>''  is holy or sacred to  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo censa''' — holy. 
:'''i lo bu'u tcadu cu censa ro prenu pe vi''' — ''This city is holy to all people here.''
:Related words: {cevni}, {krici}, {latna}, {pruxi}, {lijda}, {sinma}",,,,,,censa,yes,Socio. Culture. Religion,,,,,x<sub>1</sub>,is holy or sacred to ,x<sub>2</sub>,,,,,,,,,holy,,,,,"{cevni}, {krici}, {latna}, {pruxi}, {lijda}, {sinma}",entity,entity,,,,,,,,"x1 is holy/sacred to person/people/culture/religion/cult/group x2 ||| (cf. cevni, krici, latna, pruxi, lijda, sinma)",2
centero,"
'''centero''' — ''x<sub>1</sub><sub>(entity)</sub>''  is in the center of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo centero''' — center. 
:'''i ti noi tcadu cu centero le gugde''' — ''This city is in the center of the country.''
:Comment: {lo} {midju} is @@@center point@@@, {lo} {centero} is @@@central subset@@@ (of a set or territory), {lo} {kernelo} is @@@core@@@.
:Related words: {xadba}",,,,,,centero,yes,,,,,,x<sub>1</sub>,is in the center of ,x<sub>2</sub>,,,,,,,,"{lo} {midju} is @@@center point@@@, {lo} {centero} is @@@central subset@@@ (of a set or territory), {lo} {kernelo} is @@@core@@@.",center,,,,,{xadba},entity,entity,,,,,,,,,
centi,"
'''centi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a hundredth of  ''x<sub>2</sub><sub>(same type as x1)</sub>''  in  ''x<sub>3</sub><sub>(property of x1)</sub>'' 
:'''lo centi''' — 1/100_. 
:'''i le insekto cu centi be lo mitre lo ka clani''' — ''The insect is 1 centimeter long.''
:Related words: {grake}, {mitre}, {snidu}, {stero}, {delno}, {molro}, {kelvo}, {xampo}, {gradu}, {litce}, {merli}, {decti}, {dekto}, {femti}, {gigdo}, {gocti}, {gotro}, {kilto}, {megdo}, {mikri}, {milti}, {nanvi}, {petso}, {picti}, {terto}, {xatsi}, {xecto}, {xexso}, {zepti}, {zetro}",,,,,x1 klani li gei ni'u re x2,centi,yes,Measures. Numeric. Metric prefixes,,,,,x<sub>1</sub>,is a hundredth of ,x<sub>2</sub>,in ,x<sub>3</sub>,,,,,,,1/100_,,,,,"{grake}, {mitre}, {snidu}, {stero}, {delno}, {molro}, {kelvo}, {xampo}, {gradu}, {litce}, {merli}, {decti}, {dekto}, {femti}, {gigdo}, {gocti}, {gotro}, {kilto}, {megdo}, {mikri}, {milti}, {nanvi}, {petso}, {picti}, {terto}, {xatsi}, {xecto}, {xexso}, {zepti}, {zetro}",entity,same type as x1,property of x1,,,,,,,"x1 is a hundredth [1/100; 1x10**-2] of x2 in dimension/aspect x3 (default is units) ||| (cf. grake, mitre, snidu, stero, delno, molro, kelvo, xampo, gradu. litce, merli, decti, dekto, femti, gigdo, gocti, gotro, kilto, megdo, mikri, milti, nanvi, petso, picti, terto, xatsi, xecto, xexso, zepti, zetro)",3
cerda,"
'''cerda''' — ''x<sub>1</sub><sub>(entity)</sub>''  inherits  ''x<sub>2</sub><sub>(property of x1 and x3)</sub>''  from  ''x<sub>3</sub><sub>(entity)</sub>''  according to rule  ''x<sub>4</sub><sub>(proposition)</sub>'' 
:'''lo cerda''' — inheritor, heir. '''lo se cerda''' — inherited, heritage. 
:'''i mi cerda le dinju lo patfu be mi lo se djica be ri''' — ''I inherited the house from my father according to his will.''
:Related words: {jgina}",,,,,x1 cpacu x2 x3 noi lidne x1 ku'o ja'i x4,cerda,yes,Actions. General relation,Action. Possesion interactions,,,,x<sub>1</sub>,inherits ,x<sub>2</sub>,from ,x<sub>3</sub>,according to rule ,x<sub>4</sub>,,,,,"inheritor, heir","inherited, heritage",,,,{jgina},entity,property of x1 and x3,entity,proposition,,inherit [to],,,,"x1 is an heir to/is to inherit x2 (object/quality) from x3 according to rule x4 ||| [pedantically, inheriting an object should be a sumti-raising (tu'a if non-abstract in x2) of inheriting loka ponse the object - the ownership of the object (= posycerda, posyselcerda for unambiguous semantics)]; (cf. jgina)",4
cermurse,"
'''cermurse''' — ''x<sub>1</sub><sub>(entity)</sub>''  happens at the dawn of day  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo cermurse''' — dawn. 
:'''i mi ba klama lo boske ca lo cermurse be lo bavlamdei''' — ''I will go to forest tomorrow at dawn.''
:Related words: {cerni}, {kandi}, {vanci}",,,,,,cermurse,yes,Measures. Light & daytime,Splicing time-interval,,,,x<sub>1</sub>,happens at the dawn of day ,x<sub>2</sub>,,,,,,,,,dawn,,,,,"{cerni}, {kandi}, {vanci}",entity,entity,,,,,,,,,
cerni,"
'''cerni''' — ''x<sub>1</sub><sub>(entity)</sub>''  happens in the morning of day  ''x<sub>2</sub><sub>(entity)</sub>''  ...
:'''lo cerni''' — morning. 
:'''i cerni coi''' — ''Good morning!''
:'''i ti cerni pa cnino djedi''' — ''It is the morning of a new day.''
:Related words: {vanci}, {cermurse}, {vacmurse}, {tcika}",,,,,x1 pagbu x2 noi djedi ku'o gi'e temci lo solnuntolcanci lo dormidju gi'e se stuzi x3,cerni,yes,Measures. Light & daytime,Splicing time-interval,,,,x<sub>1</sub>,happens in the morning of day ,x<sub>2</sub>,,,,,,,,,morning,,,,,"{vanci}, {cermurse}, {vacmurse}, {tcika}",entity,entity,,,,,,, ...,"x1 is a morning [dawn until after typical start-of-work for locale] of day x2 at location x3 ||| [this morning (= cabdeicerni); tomorrow morning (= bavlamcerni); yesterday morning (= prulamcerni, prulamdeicerni)](cf. vanci, murse, tcika)",3
certu,"
'''certu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is skilled at  ''x<sub>2</sub><sub>(property of x1)</sub>''  ...
:'''lo certu''' — expert, master. '''lo se certu''' — field of expertise. 
:'''i fau ei ro da mi se zu'e se marvele lo nu le prenu se la'u li xo kau certu lo ka limna''' — ''I cannot but wonder at his skill in swimming.''
:Related words: {djuno}, {stati}, {kakne}",,,,,x1 mutce lo ka se slabu je kakne x2,certu,yes,Psycho. Personality trait (mind),,,,,x<sub>1</sub>,is skilled at ,x<sub>2</sub>,,,,,,,,,"expert, master",field of expertise,,,,"{djuno}, {stati}, {kakne}",entity,property of x1,,,,,,, ...,"x1 is an expert/pro/has prowess in/is skilled at x2 (event/activity) by standard x3 ||| [also competent, skilled]; (cf. djuno, stati, kakne)",3
cevni,"
'''cevni''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a god of people or religion  ''x<sub>2</sub><sub>(entity)</sub>''  with dominion over  ''x<sub>3</sub><sub>(property of x1)</sub>'' 
:'''lo cevni''' — god. 
:'''i do cevni mi lo nu carvi''' — ''You are a god of rain for me.''
:Related words: {censa}, {krici}, {lijda}, {malsi}",-x1 is a/the god/deity of people(s)/religion x2 with dominion over x3 [sphere]; x1 is divine.,_+x1 is a/the god/deity of people(s) x2 with dominion over x3 [sphere].,"_-Also divinity; x2 religion refers to the religious community as a mass. See also {censa}, {krici}, {lijda}, {malsi}.","_+See also {censa}, {krici}, {lijda}, {malsi}.",x1 traji lo ka se sinma x2 noi krici lo du'u x1 turni ja jitro x2,cevni,yes,Socio. Culture. Religion,"Socio. Government, law & territory",,,,x<sub>1</sub>,is a god of people or religion ,x<sub>2</sub>,with dominion over ,x<sub>3</sub>,,,,,,,god,,,,,"{censa}, {krici}, {lijda}, {malsi}",entity,entity,property of x1,,,,,,,"x1 is a/the god/deity of people(s)/religion x2 with dominion over x3 [sphere]; x1 is divine ||| [also divinity; x2 religion refers to the religious community as a mass]; (cf. censa, krici, lijda, malsi)",3
cfari,"
'''cfari''' — ''x<sub>1</sub><sub>(clause)</sub>''  commences, begins, or starts
:'''lo cfari''' — beginning, start. 
:'''i de'i li cy xo lo se tigni cu cfari''' — ''At what time does the performance begin?''
:Related words: {sisti}, {krasi}, {fanmo}, {mulno}",,,,,lo krasi be x1 noi fasnu cu binxo lo zasti,cfari,yes,,Actions. Event contours,,,,x<sub>1</sub>,"commences, begins, or starts",,,,,,,,,,"beginning, start",,,,,"{sisti}, {krasi}, {fanmo}, {mulno}",clause,,,,,"commence [to], begin [to], start [to]",,,,"x1 [state/event/process] commences/initiates/starts/begins to occur; (intransitive verb) ||| (cf. sisti, krasi, fanmo)",
cfika,"
'''cfika''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a work of fiction about plot or theme  ''x<sub>2</sub><sub>(entity)</sub>''  ...
:'''lo cfika''' — work of fiction. '''lo se cfika''' — plot of a work of fiction. 
:'''i la'e lu la lunra cu kusru turni li'u cfika lo logji bangu''' — '' 'The Moon is a harsh mistress' is a fiction about logical languages.''
:Related words: {cukta}, {lisri}, {prosa}, {fatci}, {jitfa}, {jetnu}, {xanri}",,,,,x1 prosa ja pemci ja skina x2 noi xanri je nai fatci ku'o x3 .i x1 srana x2 noi xanri je nai fatci gi'e se finti x3 ,cfika,yes,Socio. Literature & writing,,,LISRI,,x<sub>1</sub>,is a work of fiction about plot or theme ,x<sub>2</sub>,,,,,,,,,work of fiction,plot of a work of fiction,,,,"{cukta}, {lisri}, {prosa}, {fatci}, {jitfa}, {jetnu}, {xanri}",entity,entity,,,,,,, ...,"x1 is a work of fiction about plot/theme/subject x2/under convention x2 by author x3 ||| [also story, lie, untrue]; (cf. cukta, lisri, prosa, fatci, jitfa, jetnu, xanri)",3
cfila,"
'''cfila''' — ''x<sub>1</sub><sub>(property of x2)</sub>''  is a flaw or defect in  ''x<sub>2</sub><sub>(entity)</sub>''  causing  ''x<sub>3</sub><sub>(clause)</sub>'' 
:'''lo cfila''' — flaw. '''lo se cfila''' — flawed. 
:'''i mi se cfila lo nu lo drata cu xanka''' — ''I have my faults making other nervous.''
:Related words: {cikre}, {srera}, {fenra}, {fliba}, {prane}",,,,,x1 se ckaji x2 ja'e x3 noi krinu lo nu x2 na prane,cfila,yes,,General. Organization,,,,x<sub>1</sub>,is a flaw or defect in ,x<sub>2</sub>,causing ,x<sub>3</sub>,,,,,,,flaw,flawed,,,,"{cikre}, {srera}, {fenra}, {fliba}, {prane}",property of x2,entity,clause,,,,,,,"x1 (property - ka) is a flaw/fault/defect in x2 causing x3 ||| (cf. cikre, srera, fenra, fliba, prane)",3
cfine,"
'''cfine''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a wedge ...
:'''lo cfine''' — wedge. 
:'''i mi pu setca pa cfine lo loldi te zu'e lo nu le vorme co'a kalri''' — ''I drove a wedge into the floor so that the door was open.''
:Related words: {tutci}",,,,,,cfine,yes,,General. Shapes,,,,x<sub>1</sub>,is a wedge,,,,,,,,,,wedge,,,,,{tutci},entity,,,,,,,, ...,x1 is a wedge [shape/form/tool] of material x2 ||| (cf. tutci),2
cfipu,"
'''cfipu''' — ''x<sub>1</sub><sub>(clause)</sub>''  confuses, baffles observer  ''x<sub>2</sub><sub>(entity)</sub>''  ...
:'''lo cfipu''' — confusing. '''lo se cfipu''' — confused, baffled. 
:'''i zo zabna jai cfipu mi fai lo ka se smuni''' — ''To me {zabna} is confusing in meaning.''
:'''i do je'a xu se cfipu lo ka cuxna lo ka zukte ma kau''' — ''Are you really confused of deciding what to do?''
:Related words: {pluja}, {senpi}, {zunti}",,,,,x1 jai se jalge lo nu x2 na'e birti ja na'e jimpe kei fai x3,cfipu,yes,,Psycho. Emotion,Split description (removed),,,x<sub>1</sub>,"confuses, baffles observer ",x<sub>2</sub>,,,,,,,,,confusing,"confused, baffled",,,,"{pluja}, {senpi}, {zunti}",clause,entity,,,,"confuse [to], baffle [to]",,, ...,"x1 (event/state) confuses/baffles x2 [observer] due to [confusing] property x3 (ka) ||| (cf. pluja, cfipu, zunti)",3
ciblu,"
'''ciblu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is blood of organism  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo ciblu''' — blood. 
:'''i lo ciblu be mi cu klesi li a bu ma'u bu''' — ''My blood type is A positive.''
:Related words: {risna}, {flu'ente}",,,,,x1 litki gi'e flecu lo ralju ke naxle ciste pe lo xadni be x2,ciblu,yes,Living. Body parts,,,,,x<sub>1</sub>,is blood of organism ,x<sub>2</sub>,,,,,,,,,blood,,,,,"{risna}, {flu'ente}",entity,entity,,,,,,,,"x1 is blood/vital fluid of organism x2 ||| (cf. risna, flecu)",2
cicna,"
'''cicna''' — ''x<sub>1</sub><sub>(entity)</sub>''  is torquoise or cyan
:'''lo cicna''' — cyan (color). 
:'''i lo vanci tsani co'a cicna''' — ''The evening sky became turquoise.''
:Related words: {skari}, {blabi}, {xekri}, {kandi}, {carmi}, {crino}, {blanu}",,,,,x1 skari lo mixre be lo blanu jo'u lo crino,cicna,yes,Psycho. Color,,,,,x<sub>1</sub>,is torquoise or cyan,,,,,,,,,,cyan (color),,,,,"{skari}, {blabi}, {xekri}, {kandi}, {carmi}, {crino}, {blanu}",entity,,,,,,,,,"x1 is cyan/turquoise/greenish-blue [color adjective] ||| (cf. skari, blabi, xekri, kandi, carmi, crino, blanu)",
cidja,"
'''cidja''' — ''x<sub>1</sub><sub>(entity)</sub>''  is food or nutriment for  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo cidja''' — food. 
:'''i lo rectu na cidja lo xirma''' — ''Meat is not a food for horses.''
:'''i mi nelci lo jungo cidja''' — ''I like Chinese food.''
:Related words: {citka}, {nitcu}, {pinxe}, {xagji}, {cpina}",,,,,x1 se pilno x2 lo ka citka gi'e stali lo ka jmive kei gi'e te sabji lo nejni gi'e banro,cidja,yes,Living. Food (generalised),,,,,x<sub>1</sub>,is food or nutriment for ,x<sub>2</sub>,,,,,,,,,food,,,,,"{citka}, {nitcu}, {pinxe}, {xagji}, {cpina}",entity,entity,,,,,,,,"x1 is food/feed/nutriment for x2; x1 is edible/gives nutrition to x2 ||| (cf. citka, nitcu, pinxe, xagji, cpina)",2
cidni,"
'''cidni''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a knee, elbow, or other hinged joint of limb  ''x<sub>2</sub><sub>(entity)</sub>''  ...
:'''lo cidni''' — knee, elbow. 
:'''i lo cidni be lo tuple be mi cu se xrani''' — ''My knee is injured.''
:Related words: {korcu}, {jarco}, {jganu}",,,,,x1 pagbu x2 gi'e se jonsi'u lo re pagbu be x2 noi mu'a galtu'e jo'u dzitu'e gi'a galbirka jo'u dzibirka,cidni,yes,Living. External anatomy,,,,,x<sub>1</sub>,"is a knee, elbow, or other hinged joint of limb ",x<sub>2</sub>,,,,,,,,,"knee, elbow",,,,,"{korcu}, {jarco}, {jganu}",entity,entity,,,,,,, ...,"x1 is a/the knee/elbow/knuckle [hinged joint, body-part] of limb x2 of body x3 ||| [metaphor: a sharp bend/curve] (cf. korcu, jarco, jganu)",3
cidro,"
'''cidro''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a quantity of hydrogen
:'''lo cidro''' — hydrogen. 
:'''i lo cidro cu traji linto se ratni''' — ''Hydrogen is the lightest element.''
:Related words: {gapci}, {xukmi}",,,,,x1 skacau je pancau je jelka'e gapci gi'e te sumji lo kijno lo djacu gi'e traji lo ka linto kei lo cmuxu'i gi'e se sinxa zo'oi H,cidro,yes,Universe. Chemical elements,,,,,x<sub>1</sub>,is a quantity of hydrogen,,,,,,,,,,hydrogen,,,,,"{gapci}, {xukmi}",entity,,,,,,,,,"x1 is a quantity of/contains/is made of hydrogen (H); [metaphor: light, flammable] ||| (cf. gapci, xukmi)",
cifnu,"
'''cifnu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a baby, young living being of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo cifnu''' — baby, young living being, infant. 
:'''i xu le cifnu xa'o jimpe lo lojbo se smusku''' — ''Does the infant understand Lojban yet?''
:Related words: {makcu}, {verba}, {citno}, {panzi}",,,,,x1 mutce lo ka citno kei gi'e cmima x2 noi jutsi,cifnu,yes,Living. People,,,,,x<sub>1</sub>,"is a baby, young living being of species ",x<sub>2</sub>,,,,,,,,,"baby, young living being, infant",,,,,"{makcu}, {verba}, {citno}, {panzi}",entity,taxon,,,,,,,,"x1 is an infant/baby [helpless through youth/incomplete development] of species x2 ||| [also infantile]; (cf. makcu, verba)",2
cigla,"
'''cigla''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a gland secreting  ''x<sub>2</sub><sub>(entity)</sub>''  in body  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo cigla''' — gland. '''lo se cigla''' — secretion of a gland. 
:'''i ti cigla lo xasne lo remna''' — ''This human gland secrets sweat.''
:Related words: {vikmi}, {xasne}",,,,,x1 cupra x2 gi'e selci ja slegunma ja rango x3,cigla,yes,Living. Internal organs,,,,,x<sub>1</sub>,is a gland secreting ,x<sub>2</sub>,in body ,x<sub>3</sub>,,,,,,,gland,secretion of a gland,,,,"{vikmi}, {xasne}",entity,entity,entity,,,,,,,"x1 is a/the gland [body-part] secreting x2, of body x3; x2 is a secretion of x1 ||| [secretion (= selcigla)]; (cf. vikmi, xasne)",3
cikna,"
'''cikna''' — ''x<sub>1</sub><sub>(entity)</sub>''  is awake
:'''lo cikna''' — someone awake. 
:'''i xu su'o do cikna''' — ''Is any of you awake?''
:'''i mi pu co'a clira cikna''' — ''I got up early.''
:'''i ko jai gau cikna fai mi de'i li cy bi''' — ''Wake me up at 8.''
:Related words: {sanji}, {sipna}, {tatpi}",-(adjective:) x1 is awake/alert/conscious.,_+x1 is awake/alert/conscious.,,,x1 na'e sipna gi'e sanji lo vanbi be x1,cikna,yes,Living. Bodily functions,,,,,x<sub>1</sub>,is awake,,,,,,,,,,someone awake,,,,,"{sanji}, {sipna}, {tatpi}",entity,,,,,,,,,"(adjective:) x1 is awake/alert/conscious ||| (cf. sanji, sipna, tatpi)",
cikre,"
'''cikre''' — ''x<sub>1</sub><sub>(entity)</sub>''  repairs or mends  ''x<sub>2</sub><sub>(entity)</sub>''  for use  ''x<sub>3</sub><sub>(property of x2)</sub>'' 
:'''lo cikre''' — repairer. '''lo se cikre''' — repaired. 
:'''i mi cikre le spofu stizu lo ka ka'e se zutse''' — ''I repair the chair so that one can sit on it.''
:Related words: {cfila}, {spofu}",,,,,x1 gasnu lo nu x2 di'a tolpo'u x3,cikre,yes,Actions. Physical transformations,,,,,x<sub>1</sub>,repairs or mends ,x<sub>2</sub>,for use ,x<sub>3</sub>,,,,,,,repairer,repaired,,,,"{cfila}, {spofu}",entity,entity,property of x2,,,"repair [to], mend [to], fix (repair) [to]",,,,"x1 repairs/mends/fixes x2 for use x3 ||| [a repair may be incomplete, fixing only one of the possible uses of x2, hence x3]; (cf. cfila, spofu)",3
ciksi,"
'''ciksi''' — ''x<sub>1</sub><sub>(entity)</sub>''  explains  ''x<sub>2</sub><sub>(proposition)</sub>''  to  ''x<sub>3</sub><sub>(entity)</sub>''  with explanation  ''x<sub>4</sub><sub>(proposition)</sub>'' 
:'''lo ciksi''' — expounder. '''lo ve ciksi''' — explanation. 
:'''i mi pu ciksi fi le ctuca fe lo nu mi na zvati le nu penmi vau fo lo nu mi na pu djuno le du'u sarcu fa lo nu mi zvati nu bu''' — ''I explained to the teacher my absence at the meeting that I didn't know that I should've been there.''
:Related words: {cipra}, {danfu}, {jalge}, {jinvi}, {krinu}, {mukti}, {nabmi}, {retsku}, {rinka}, {sidbo}, {zukte}, {tavla}",,,,,x1 troci lo ka gasnu lo nu x2 te jimpe fi x3 kei kei lo ka skicu x2 x3 x4,ciksi,yes,Socio. Communication,,,Ex(CMENE),,x<sub>1</sub>,explains ,x<sub>2</sub>,to ,x<sub>3</sub>,with explanation ,x<sub>4</sub>,,,,,expounder,,,explanation,,"{cipra}, {danfu}, {jalge}, {jinvi}, {krinu}, {mukti}, {nabmi}, {retsku}, {rinka}, {sidbo}, {zukte}, {tavla}",entity,proposition,entity,proposition,,explain [to],,,,"x1 (person) explains x2 (event/state/property) to x3 with explanation x4 (du'u) ||| [explanation x4 is an underlying mechanism/details/purpose/method for x2 (= velcki for reordered places), generally assumed to be non-obvious; metaphorical usage with the various causal relations (i.e. jalge, mukti, krinu, rinka, nibli, zukte) is possible, but the non-obviousness, and the existence of an explainer with a point of view makes this word not a simple expression of cause]; (cf. cipra, danfu, jalge, jinvi, krinu, mukti, nabmi, preti, rinka, sidbo, zukte, tavla)",4
cilce,"
'''cilce''' — ''x<sub>1</sub><sub>(entity)</sub>''  is wild or untamed
:'''lo cilce''' — wild. 
:'''i ti noi foldi cu cilce''' — ''This field is untamed.''
:'''i ra sazri pa cilce xirma''' — ''He rides an untamed horse.''
:Related words: {pinfu}, {panpi}, {tarti}",-(adjective:) x1 is wild/untamed.,_+x1 is wild/untamed.,,,,cilce,yes,Living. General,,,,,x<sub>1</sub>,is wild or untamed,,,,,,,,,,wild,,,,,"{pinfu}, {panpi}, {tarti}",entity,,,,,,,,,"(adjective:) x1 is wild/untamed ||| [tame (= tolcilce)]; (cf. pinfu, panpi, tarti)",
cilmo,"
'''cilmo''' — ''x<sub>1</sub><sub>(entity)</sub>''  is moist or damp with liquid  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo cilmo''' — damp, moist, wet. 
:'''i ko lumci le canko se pi'o lo cilmo bukpu''' — ''Clean the window with a damp cloth.''
:Related words: {litki}, {lunsa}, {sudga}",,,,,x1 se gacri ja ba'o cokcu x2 noi litki .i x1 to'e sudga x2,cilmo,yes,Universe. Properties,,,,,x<sub>1</sub>,is moist or damp with liquid ,x<sub>2</sub>,,,,,,,,,"damp, moist, wet",,,,,"{litki}, {lunsa}, {sudga}",entity,entity,,,,,,,,"x1 is moist/wet/damp with liquid x2 ||| (cf. litki, lunsa, sudga)",2
cilre,"
'''cilre''' — ''x<sub>1</sub><sub>(entity)</sub>''  learns some fact or information  ''x<sub>2</sub><sub>(proposition)</sub>''  about  ''x<sub>3</sub><sub>(entity)</sub>''  from doing or being  ''x<sub>4</sub><sub>(clause)</sub>''  ...
:'''lo cilre''' — learner. '''lo se cilre''' — learned. 
:'''i mi cilre fi la lojban''' — ''I learn Lojban.''
:'''i mi pu cilre le du'u lo remna na smani''' — ''I learnt that humans are not monkeys.''
:'''i mi tcidu mu'i lo nu mi cilre''' — ''I read in order to learn.''
:'''i mi so'i da pu'i cilre fo lo nu mi pu zgana lo cipni''' — ''I learned a lot from watching birds.''
:Related words: {info}, {saske}, {ctuca}, {tadni}, {djuno}, {ckule}",,,,,x1 cpacu lo ka djuno x2 x3 kei x4 ta'i x5,cilre,yes,Psycho. Mind/Knowledge,,,DJUNO-,,x<sub>1</sub>,learns some fact or information ,x<sub>2</sub>,about ,x<sub>3</sub>,from doing or being ,x<sub>4</sub>,,,,,learner,learned,,,,"{info}, {saske}, {ctuca}, {tadni}, {djuno}, {ckule}",entity,proposition,entity,clause,,learn [to],,, ...,"x1 learns x2 (du'u) about subject x3 from source x4 (obj./event) by method x5 (event/process) ||| (cf. ctuca, tadni, djuno, ckule)",5
cilta,"
'''cilta''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a thread, wire, filament ...
:'''lo cilta''' — thread (cord), cord. 
:'''i mi pu katna le cilta lo ci mei''' — ''I cut the wire into three pieces.''
:Comment: unlike {skori} doesnt describe the object as consisting of more than one filament.
:Related words: {fenso}, {nivji}, {skori}, {silka}",,,,,x1 mutce lo ka jarki je cinla kei slanu x2,cilta,yes,,General. Shapes,,,,x<sub>1</sub>,"is a thread, wire, filament",,,,,,,,,unlike {skori} doesnt describe the object as consisting of more than one filament.,"thread (cord), cord",,,,,"{fenso}, {nivji}, {skori}, {silka}",entity,,,,,,,, ...,"x1 is a thread/filament/wire [shape/form] of material x2 ||| (cf. fenso, nivji, skori, silka)",2
cimde,"
'''cimde''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a dimension of space or object  ''x<sub>2</sub><sub>(entity)</sub>''  according to rule or model  ''x<sub>3</sub><sub>(property of x2)</sub>'' 
:'''lo cimde''' — dimension. 
:'''i lo mitre be li re cu cimde le kumfa lo ka clani''' — ''Two meters is the dimension of the room in length.''
:Related words: {morna}, {ckilu}, {merli}, {manri}",,,,,x1 se ckaji x2 gi'e ka'e te klani fi x2 gi'e ka'e ve merli x2,cimde,yes,Measures. Size & weight,,,,,x<sub>1</sub>,is a dimension of space or object ,x<sub>2</sub>,according to rule or model ,x<sub>3</sub>,,,,,,,dimension,,,,,"{morna}, {ckilu}, {merli}, {manri}",entity,entity,property of x2,,,,,,,"x1 (property - ka) is a dimension of space/object x2 according to rules/model x3 ||| (cf. morna, ckilu, merli, manri)",3
cimni,"
'''cimni''' — ''x<sub>1</sub><sub>(entity)</sub>''  in infinite in  ''x<sub>2</sub><sub>(property of x1)</sub>''  ...
:'''lo cimni''' — infinite. 
:'''i si'au le nu penmi cu cimni lo ka se ditcu''' — ''It seems to me, the meeting will never end.''
:'''i le munje cu cimni lo ka se canlu''' — ''The world is infinite in space.''
:Related words: {vitno}, {renvi}, {munje}, {fanmo}, {sisti}",,,,,,cimni,yes,,Measures. Amounts,,,,x<sub>1</sub>,in infinite in ,x<sub>2</sub>,,,,,,,,,infinite,,,,,"{vitno}, {renvi}, {munje}, {fanmo}, {sisti}",entity,property of x1,,,,,,, ...,"x1 is infinite/unending/eternal in property/dimension x2, to degree x3 (quantity)/of type x3 ||| [also everlasting, eternity, (= cimnytei), eternal (= cimnyteikai or temcimni)] (cf. vitno, renvi, munje, fanmo, sisti)",3
cinba,"
'''cinba''' — ''x<sub>1</sub><sub>(entity)</sub>''  kisses  ''x<sub>2</sub><sub>(entity)</sub>''  ...
:'''lo se cinba''' — kissed. 
:'''i mi pu cinba le fetsi re'o pa kerlo''' — ''I kissed her in the ear.''
:Related words: {ctebi}",,,,,x1 pencu x2 lo ctebi x3,cinba,yes,Socio. Actions. Physical matter,,,,,x<sub>1</sub>,kisses ,x<sub>2</sub>,,,,,,,,,,kissed,,,,{ctebi},entity,entity,,,,kiss [to],,, ...,x1 (agent) kisses/busses x2 at locus x3 ||| (cf. ctebi),3
