particle,mw export,particle,1,2,3 (comm.),1,4 (links),krama'o,mijma'o,famyma'o,S,Basic cmavo?,K,L,gloss ja'ai,gloss cu'i,gloss nai,definition,particle,mw export,particle,1,2,3 (comm.),1,4 (links),krama'o,mijma'o,famyma'o,S,Basic cmavo?,K,L,gloss ja'ai,gloss cu'i,gloss nai,,,,
zo'i,"
'''zo'i''' <small>[preposition of place]</small> — @@@on this side of ...@@@
:'''i mi sanli bu'u lo klaji zo'i le muzga''' — ''I'm standing on the street on this side of the museum.''
:'''i mi zutse lo korbi be pa lalxu zo'i pa laldo cindu''' — ''I'm sitting by the lake on this side of an old oak.''",zo'i,preposition of place,@@@on this side of ...@@@,,preposition,,,,,FAhA4,yes,preposition,,side of ... [on this],,,location tense relation/direction, nearer than .../inward/approaching from ...,zo'i,"
'''zo'i''' <small>[preposition of place]</small> — @@@on this side of ...@@@
:'''i mi sanli bu'u le klaji zo'i le mi'u muzga''' — ''I'm standing on the street on this side of the museum.''
:'''i mi zutse le korbi be pa lalxu zo'i pa laldo cindu''' — ''I'm sitting by the lake on this side of an old oak.''",zo'i,preposition of place,@@@on this side of ...@@@,,preposition,,,,,FAhA4,yes,preposition,,side of ... [on this],,,,,
fe'e,"
'''fe'e''' <small>[prefix for a preposition]</small> — explicitly marks the following preposition as referring to space, not time
:'''i ko vi'i fe'e di'i sombo le gurni''' — ''Sow the grain in a line and evenly!''",fe'e,prefix for a preposition,"explicitly marks the following preposition as referring to space, not time",,prefix for a preposition,,,,,FEhE,yes,,,,,,mark space interval distributive aspects, labels interval tense modifiers as location-oriented,fe'e,"
'''fe'e''' <small>[prefix for a preposition]</small> — explicitly marks the following preposition as referring to space, not time
:'''i ko vi'i fe'e di'i sombo le mi'u gurni''' — ''Sow the grain in a line and evenly!''",fe'e,prefix for a preposition,"explicitly marks the following preposition as referring to space, not time",,prefix for a preposition,,,,,FEhE,yes,,,,,,,,
fe'u,"
'''fe'u''' <small>[terminator]</small> — ends a construct started with: '''fi'o'''",fe'u,terminator,,,terminator,,FIhO,,,FEhU,yes,terminator,,,,,elidable terminator: end nonce conversion of main verb to modal, usually elidable,fe'u,"
'''fe'u''' <small>[terminator]</small> — ends a construct started with: '''fi'o'''",fe'u,terminator,,,terminator,,FIhO,,,FEhU,yes,terminator,,,,,,,
fi'o,"
'''fi'o''' — turn clause into preposition/adverb
:'''i le mlatu pu plipe fi'o suksa''' — ''The cat jumped quickly.''
:'''i le nabmi cu nandu fi'o jinvi so'i prenu''' — ''The problem is difficult according to many people.''
:Comment: used in the form of '{fi'o} + verb' or '{fi'o} + verb + the first place of the verb' (thus the first place of the verb goes after it).",fi'o,,turn clause into preposition/adverb,used in the form of '{fi'o} + verb' or '{fi'o} + verb + the first place of the verb' (thus the first place of the verb goes after it),,,,,fe'u,FIhO,yes,converter,,,,,convert main verb to nonce modal/sumti tag,fi'o,"
'''fi'o''' — turn clause into preposition/adverb
:'''i le mi'u mlatu pu plipe fi'o suksa''' — ''The cat jumped quickly.''
:'''i le mi'u nabmi cu nandu fi'o jinvi so'i prenu''' — ''The problem is difficult according to many people.''
:Comment: used in the form of '{fi'o} + verb' or '{fi'o} + verb + the first place of the verb' (thus the first place of the verb goes after it).",fi'o,,turn clause into preposition/adverb,used in the form of '{fi'o} + verb' or '{fi'o} + verb + the first place of the verb' (thus the first place of the verb goes after it),,,,,fe'u,FIhO,yes,converter,,,,,,,,
fu'e,"
'''fu'e''' — creates a scope (brackets) of influence for an interjection
:'''i mi viska pa fu'e ia cizra zdani fu'o''' — ''I can see what I believe is a strange house.''
:'''i mi ca klama lo drata tcadu fu'e ta'o de'i li jy dy re te zu'e lo ka viska loi rirni be mi fu'o''' — ''I am going to another city (on Tuesday, by the way, to visit my parents).''",fu'e,,creates a scope (brackets) of influence for an interjection,,,,,,fu'o,FUhE,yes,,,,,,begin indicator long scope,fu'e,"
'''fu'e''' — creates a scope (brackets) of influence for an interjection
:'''i mi viska pa fu'e ia cizra zdani fu'o''' — ''I can see what I believe is a strange house.''
:'''i mi ca klama le drata tcadu fu'e ta'o de'i li jy dy re te zu'e le ka viska lei rirni be mi fu'o''' — ''I am going to another city (on Tuesday, by the way, to visit my parents).''",fu'e,,creates a scope (brackets) of influence for an interjection,,,,,,fu'o,FUhE,yes,,,,,,,,,
fu'o,"
'''fu'o''' <small>[terminator]</small> — ends a construct started with: '''fu'e'''",fu'o,terminator,,,,,FUhE,,,FUhO,yes,,,,,,end indicator long scope, terminates scope of all active indicators,fu'o,"
'''fu'o''' <small>[terminator]</small> — ends a construct started with: '''fu'e'''",fu'o,terminator,,,,,FUhE,,,FUhO,yes,,,,,,,,
ga,"
'''ga''' <small>[forethought conjunction]</small> — @@@and/or@@@
:'''i ga mi citka gi mi kelci''' — ''I either eat or play, or do both.''
:Comment: used to connect nouns, adverbs, verbs, clauses. Shows that at least one of the constructs inside {ga} ... {gi} is true.",ga,forethought conjunction,@@@and/or@@@,"used to connect nouns, adverbs, verbs, clauses. Shows that at least one of the constructs inside {ga} ... {gi} is true","forethought conjunction for nouns, adverbs, verbs, clauses",,,,,GA,needed,connective,,and/or,,,logical connective: forethought all but tanru-internal or (with gi),ga,"
'''ga''' <small>[forethought conjunction]</small> — @@@and/or@@@
:'''i ga mi citka gi mi kelci''' — ''I either eat or play, or do both.''
:Comment: used to connect nouns, adverbs, verbs, clauses. Shows that at least one of the constructs inside {ga} ... {gi} is true.",ga,forethought conjunction,@@@and/or@@@,"used to connect nouns, adverbs, verbs, clauses. Shows that at least one of the constructs inside {ga} ... {gi} is true","forethought conjunction for nouns, adverbs, verbs, clauses",,,,,GA,needed,connective,,and/or,,,,,,
ge,"
'''ge''' <small>[forethought conjunction]</small> — @@@and@@@
:'''i mi ge citka pa torta gi pinxe lo jisra''' — ''I both eat a cake and drink some juice.''
:Comment: used to connect nouns, adverbs, verbs, clauses. Shows that both constructs inside {ge} ... {gi} are true.",ge,forethought conjunction,@@@and@@@,"used to connect nouns, adverbs, verbs, clauses. Shows that both constructs inside {ge} ... {gi} are true","forethought conjunction for nouns, adverbs, verbs, clauses",,,,,GA,needed,connective,,and,,,logical connective: forethought all but tanru-internal and (with gi),ge,"
'''ge''' <small>[forethought conjunction]</small> — @@@and@@@
:'''i mi ge citka pa torta gi pinxe le jisra''' — ''I both eat a cake and drink some juice.''
:Comment: used to connect nouns, adverbs, verbs, clauses. Shows that both constructs inside {ge} ... {gi} are true.",ge,forethought conjunction,@@@and@@@,"used to connect nouns, adverbs, verbs, clauses. Shows that both constructs inside {ge} ... {gi} are true","forethought conjunction for nouns, adverbs, verbs, clauses",,,,,GA,needed,connective,,and,,,,,,
ge'i,"
'''ge'i''' <small>[forethought conjunction]</small> — question
:'''i lu do ge'i citka lo torta gi pinxe lo jisra li'u lu ge li'u''' — ''&quot;What connective of GA series matches your situation: you eat a cake, you drink some juice?&quot; &quot;I do both.&quot;''
:Comment: used to connect nouns, adverbs, verbs, clauses.",ge'i,forethought conjunction,question,"used to connect nouns, adverbs, verbs, clauses","forethought conjunction for nouns, adverbs, verbs, clauses",,,,,GA,needed,connective,,,,,logical connective: forethought all but tanru-internal connective question (with gi),ge'i,"
'''ge'i''' <small>[forethought conjunction]</small> — question
:'''i lu do ge'i citka le torta gi pinxe le jisra li'u lu ge li'u''' — ''&quot;What connective of GA series matches your situation: you eat a cake, you drink some juice?&quot; &quot;I do both.&quot;''
:Comment: used to connect nouns, adverbs, verbs, clauses.",ge'i,forethought conjunction,question,"used to connect nouns, adverbs, verbs, clauses","forethought conjunction for nouns, adverbs, verbs, clauses",,,,,GA,needed,connective,,,,,,,,
go,"
'''go''' <small>[forethought conjunction]</small> — @@@both or none@@@
:'''i go la alis ba lumci lo kumfa gi la kevin cu sidju la alis''' — ''Alice will clean a room if, and only if, Kevin helps her.''
:Comment: used to connect nouns, adverbs, verbs, clauses. Shows that the whole assertion is true if each of its parts (the construct inside {go} ... {gi} and the construct after {gi}) are true..",go,forethought conjunction,@@@both or none@@@,"used to connect nouns, adverbs, verbs, clauses. Shows that the whole assertion is true if each of its parts (the construct inside {go} ... {gi} and the construct after {gi}) are true.","forethought conjunction for nouns, adverbs, verbs, clauses",,,,,GA,needed,connective,,both or none,,,logical connective: forethought all but tanru internal biconditional/iff/if-and-only-if(with gi),go,"
'''go''' <small>[forethought conjunction]</small> — @@@both or none@@@
:'''i go la alis ba lumci le kumfa gi la kevin cu sidju la alis''' — ''Alice will clean a room if, and only if, Kevin helps her.''
:Comment: used to connect nouns, adverbs, verbs, clauses. Shows that the whole assertion is true if each of its parts (the construct inside {go} ... {gi} and the construct after {gi}) are true..",go,forethought conjunction,@@@both or none@@@,"used to connect nouns, adverbs, verbs, clauses. Shows that the whole assertion is true if each of its parts (the construct inside {go} ... {gi} and the construct after {gi}) are true.","forethought conjunction for nouns, adverbs, verbs, clauses",,,,,GA,needed,connective,,both or none,,,,,,
gu,"
'''gu''' <small>[forethought conjunction]</small> — @@@whether or not@@@
:'''i la alis cu gu stati gi melbi''' — ''Alice is smart whether or not she is beautiful.''
:Comment: used to connect nouns, adverbs, verbs, clauses.",gu,forethought conjunction,@@@whether or not@@@,"used to connect nouns, adverbs, verbs, clauses","forethought conjunction for nouns, adverbs, verbs, clauses",,,,,GA,needed,connective,,whether or not,,,logical connective: forethought all but tanru-internal whether-or-not (with gi),gu,"
'''gu''' <small>[forethought conjunction]</small> — @@@whether or not@@@
:'''i la alis cu gu stati gi melbi''' — ''Alice is smart whether or not she is beautiful.''
:Comment: used to connect nouns, adverbs, verbs, clauses.",gu,forethought conjunction,@@@whether or not@@@,"used to connect nouns, adverbs, verbs, clauses","forethought conjunction for nouns, adverbs, verbs, clauses",,,,,GA,needed,connective,,whether or not,,,,,,
ge'u,"
'''ge'u''' <small>[terminator]</small> — ends a construct started with: '''goi''', '''ne''', '''pe''', '''po'e'''",ge'u,terminator,,,terminator,,GOI,,,GEhU,yes,terminator,,,,,elidable terminator: end GOI relative phrases, usually elidable in non-complex phrases,ge'u,"
'''ge'u''' <small>[terminator]</small> — ends a construct started with: '''goi''', '''ne''', '''pe''', '''po'e'''",ge'u,terminator,,,terminator,,GOI,,,GEhU,yes,terminator,,,,,,,
gi,"
'''gi''' <small>[middle separator]</small> — separator of the two parts in the forethought connection
:'''i ge do gi mi nelci lo perli''' — ''Both you and I like pears.''",gi,middle separator,separator of the two parts in the forethought connection,,separator of the two parts in the forethought connection,,,,,GI,yes,,,,,,logical connective: all but tanru-internal forethought conjunction medial marker,gi,"
'''gi''' <small>[middle separator]</small> — separator of the two parts in the forethought connection
:'''i ge do gi mi nelci le perli''' — ''Both you and I like pears.''",gi,middle separator,separator of the two parts in the forethought connection,,separator of the two parts in the forethought connection,,,,,GI,yes,,,,,,,,,
gi'a,"
'''gi'a''' <small>[connective for clause tail]</small> — @@@and/or@@@
:'''i mi citka gi'a sanga''' — ''I do at least one of the following: I drink and I sing. I drink or I sing.''
:Comment: means @@@at least one of the two@@@ (of clause tails connected using {gi'a}).",gi'a,connective for clause tail,@@@and/or@@@,means @@@at least one of the two@@@ (of clause tails connected using {gi'a}),connective for clause tail,,,,,GIhA,yes,connective,,and/or,,,logical connective: bridi-tail afterthought or,gi'a,"
'''gi'a''' <small>[connective for clause tail]</small> — @@@and/or@@@
:'''i mi citka gi'a sanga''' — ''I do at least one of the following: I drink and I sing. I drink or I sing.''
:Comment: means @@@at least one of the two@@@ (of clause tails connected using {gi'a}).",gi'a,connective for clause tail,@@@and/or@@@,means @@@at least one of the two@@@ (of clause tails connected using {gi'a}),connective for clause tail,,,,,GIhA,yes,connective,,and/or,,,,,,
gi'e,"
'''gi'e''' <small>[connective for clause tail]</small> — @@@and@@@
:'''i ai mi lumci lo kumfa gi'e jukpa lo torta''' — ''I'm going to clean the room and cook a cake.''",gi'e,connective for clause tail,@@@and@@@,,connective for clause tail,,,,,GIhA,yes,connective,,and,,,logical connective: bridi-tail afterthought and,gi'e,"
'''gi'e''' <small>[connective for clause tail]</small> — @@@and@@@
:'''i ai mi lumci le kumfa gi'e jukpa le torta''' — ''I'm going to clean the room and cook a cake.''",gi'e,connective for clause tail,@@@and@@@,,connective for clause tail,,,,,GIhA,yes,connective,,and,,,,,,
gi'e nai,"
'''gi'e nai''' <small>[connective for clause tail]</small> — @@@and not@@@
:'''i mi tavla bau la lojban gi'e nai certu tu'a ri''' — ''I speak Lojban but I'm not an expert in it.''",gi'e nai,connective for clause tail,@@@and not@@@,,connective for clause tail,,,,,GIhA,yes,connective,,and not,,,logical connective: bridi-tail afterthought and,gi'e nai,"
'''gi'e nai''' <small>[connective for clause tail]</small> — @@@and not@@@
:'''i mi tavla bau la lojban gi'e nai certu tu'a ri''' — ''I speak Lojban but I'm not an expert in it.''",gi'e nai,connective for clause tail,@@@and not@@@,,connective for clause tail,,,,,GIhA,yes,connective,,and not,,,,,,
gi'i,"
'''gi'i''' <small>[connective for clause tail]</small> — question
:'''i do klama gi'i stali''' — ''Are you going or staying?''",gi'i,connective for clause tail,question,,connective for clause tail,,,,,GIhA,yes,connective,,,,,logical connective: bridi-tail afterthought conn question,gi'i,"
'''gi'i''' <small>[connective for clause tail]</small> — question
:'''i do klama gi'i stali''' — ''Are you going or staying?''",gi'i,connective for clause tail,question,,connective for clause tail,,,,,GIhA,yes,connective,,,,,,,,
gi'o,"
'''gi'o''' <small>[connective for clause tail]</small> — @@@both or none@@@
:'''i ro da ka'e prenu gi'o ka'e tavla''' — ''Everyone either can be a person and can talk, or have none of that.''
:Comment: describes event requiring both connected main verbs to be true in respect to their shared nouns.",gi'o,connective for clause tail,@@@both or none@@@,describes event requiring both connected main verbs to be true in respect to their shared nouns,connective for clause tail,,,,,GIhA,yes,connective,,both or none,,,logical connective: bridi-tail afterthought biconditional/iff/if-and-only-if,gi'o,"
'''gi'o''' <small>[connective for clause tail]</small> — @@@both or none@@@
:'''i ro da ka'e prenu gi'o ka'e tavla''' — ''Everyone either can be a person and can talk, or have none of that.''
:Comment: describes event requiring both connected main verbs to be true in respect to their shared nouns.",gi'o,connective for clause tail,@@@both or none@@@,describes event requiring both connected main verbs to be true in respect to their shared nouns,connective for clause tail,,,,,GIhA,yes,connective,,both or none,,,,,,
gi'u,"
'''gi'u''' <small>[connective for clause tail]</small> — @@@whether or not@@@
:'''i mi citka gi'u sanga''' — ''I eat (whether or not I sing).''",gi'u,connective for clause tail,@@@whether or not@@@,,connective for clause tail,,,,,GIhA,yes,connective,,whether or not,,,logical connective: bridi-tail afterthought whether-or-not,gi'u,"
'''gi'u''' <small>[connective for clause tail]</small> — @@@whether or not@@@
:'''i mi citka gi'u sanga''' — ''I eat (whether or not I sing).''",gi'u,connective for clause tail,@@@whether or not@@@,,connective for clause tail,,,,,GIhA,yes,connective,,whether or not,,,,,,
co'e,"
'''co'e''' <small>[verb]</small> — main verb unspecified or known from context
:'''i mu'i ma do co'e mi''' — ''Why are you doing this to me?''
:'''i za'o co'e''' — ''It's going on for too long.''
:'''i ei do troci lo ka co'e bu'u lo drata''' — ''You should try it somewhere else.''",co'e,verb,main verb unspecified or known from context,,verb,,,,,GOhA,yes,selbri,unspecified thing,,,,elliptical/unspecified bridi relationship,co'e,"
'''co'e''' <small>[verb]</small> — main verb unspecified or known from context
:'''i mu'i ma do co'e mi''' — ''Why are you doing this to me?''
:'''i za'o co'e''' — ''It's going on for too long.''
:'''i ei do troci le ka co'e bu'u le drata''' — ''You should try it somewhere else.''",co'e,verb,main verb unspecified or known from context,,verb,,,,,GOhA,yes,selbri,unspecified thing,,,,,,,
go'a,"
'''go'a''' <small>[verb]</small> — copies a recent completed main level clause
:'''i au mi ne ka'ai do zgana pa cnino skina i ku'i za'a do ca zukcfu so'i da i ca ma mi'o ka'e go'a''' — ''I'd like to watch a new movie with you. But as I can see you are very busy now. When can we do that?''",go'a,verb,copies a recent completed main level clause,,verb,,,,,GOhA,yes,selbri,,,,,pro-bridi: repeats a recent bridi (usually not the last 2),go'a,"
'''go'a''' <small>[verb]</small> — copies a recent completed main level clause
:'''i au mi ne ka'ai do zgana pa cnino skina i ku'i za'a do ca zukcfu so'i da i ca ma mi'o ka'e go'a''' — ''I'd like to watch a new movie with you. But as I can see you are very busy now. When can we do that?''",go'a,verb,copies a recent completed main level clause,,verb,,,,,GOhA,yes,selbri,,,,,,,,
,---,go'e,,copies the next to last completed completed main main level clause,,,,,,,GOhA,needed?,selbri,,,,,pro-bridi: repeats the next to last bridi,,---,go'e,,copies the next to last completed completed main main level clause,,,,,,,GOhA,needed?,selbri,,,,,,,,
go'i,"
'''go'i''' <small>[verb]</small> — copies the last completed main main level clause
:'''i au mi penmi do i xu lo nu go'i cu cumki''' — ''I'd like to meet you. Is this possible?''",go'i,verb,copies the last completed main main level clause,,verb,,,,,GOhA,yes,selbri,,,,,"pro-bridi: preceding bridi; in answer to a yes/no question, repeats the claim, meaning yes",go'i,"
'''go'i''' <small>[verb]</small> — copies the last completed main main level clause
:'''i au mi penmi do i xu le nu go'i cu cumki''' — ''I'd like to meet you. Is this possible?''",go'i,verb,copies the last completed main main level clause,,verb,,,,,GOhA,yes,selbri,,,,,,,,
go'o,"
'''go'o''' <small>[verb]</small> — copies the next main main level clause
:'''i sa'u mi pu jinvi lo nu go'o i do mutce lo ka tatpi''' — ''I simply thought this: you are very tired.''",go'o,verb,copies the next main main level clause,,verb,,,,,GOhA,yes,selbri,,,,,"pro-bridi: repeats a future bridi, normally the next one",go'o,"
'''go'o''' <small>[verb]</small> — copies the next main main level clause
:'''i sa'u mi pu jinvi le nu go'o i do mutce le ka tatpi''' — ''I simply thought this: you are very tired.''",go'o,verb,copies the next main main level clause,,verb,,,,,GOhA,yes,selbri,,,,,,,,
,---,go'u,,copies a remote past completed main main level clause,,,,,,,GOhA,needed?,selbri,,,,,pro-bridi: repeats a remote past bridi,,---,go'u,,copies a remote past completed main main level clause,,,,,,,GOhA,needed?,selbri,,,,,,,,
mo,"
'''mo''' <small>[verb]</small> — asks for a verb word (that should go into the place to which {mo} is put)
:'''i do mo''' — ''How are you?''
:'''i la lojban cu mo''' — ''What is Lojban?''",mo,verb,asks for a verb word (that should go into the place to which {mo} is put),,verb,,,,,GOhA,yes,selbri,question,,,,pro-bridi: bridi/main verb/brivla question,mo,"
'''mo''' <small>[verb]</small> — asks for a verb word (that should go into the place to which {mo} is put)
:'''i do mo''' — ''How are you?''
:'''i la lojban cu mo''' — ''What is Lojban?''",mo,verb,asks for a verb word (that should go into the place to which {mo} is put),,verb,,,,,GOhA,yes,selbri,question,,,,,,,
nei,"
'''nei''' <small>[verb]</small> — copies the current clause
:'''i mi ca'o lumci lo nei''' — ''I'm washing myself.''
:'''i do zbasu no da lo se nei''' — ''You are making nothing out of nothing.''
:Comment: {lo nei} refers to the first place of the current clause, {lo se nei} to the second etc.",nei,verb,copies the current clause,"{lo nei} refers to the first place of the current clause, {lo se nei} to the second etc",verb,,,,,GOhA,yes,selbri,,,,,pro-bridi: repeats the current bridi,nei,"
'''nei''' <small>[verb]</small> — copies the current clause
:'''i mi ca'o lumci le nei''' — ''I'm washing myself.''
:'''i do zbasu no da le se nei''' — ''You are making nothing out of nothing.''
:Comment: {lo nei} refers to the first place of the current clause, {lo se nei} to the second etc.",nei,verb,copies the current clause,"{lo nei} refers to the first place of the current clause, {lo se nei} to the second etc",verb,,,,,GOhA,yes,selbri,,,,,,,,
no'a,"
'''no'a''' <small>[verb]</small> — copies the outer clause in which the current one is embedded excluding {sei}-clauses
:'''i xu la alis cu zukte lo se nupre be lo no'a''' — ''Does Alice keep her words?''
:'''i mi gleki lo nu no'a''' — ''I'm happy because I'm happy.''",no'a,verb,copies the outer clause in which the current one is embedded excluding {sei}-clauses,,verb,,,,,GOhA,yes,selbri,,,,,pro-bridi: repeats the bridi in which this one is embedded,no'a,"
'''no'a''' <small>[verb]</small> — copies the outer clause in which the current one is embedded excluding {sei}-clauses
:'''i xu la alis cu zukte le se nupre be le no'a''' — ''Does Alice keep her words?''
:'''i mi gleki le nu no'a''' — ''I'm happy because I'm happy.''",no'a,verb,copies the outer clause in which the current one is embedded excluding {sei}-clauses,,verb,,,,,GOhA,yes,selbri,,,,,,,,
bu'a,"
'''bu'a''' <small>[verb]</small> — @@@there exists some relation@@@: 1st verb of {bu'a}, {bu'e}, {bu'i} series
:'''i fau lo nu do djica lo nu bu'a cu bu'a gau ko''' — ''If there is something you want to happen, make it happen.''",bu'a,verb,"@@@there exists some relation@@@: 1st verb of {bu'a}, {bu'e}, {bu'i} series",,verb,,,,,GOhA (BUhA),yes,selbri,,there exists,,,logically quantified predicate variable: some main verb 1,bu'a,"
'''bu'a''' <small>[verb]</small> — @@@there exists some relation@@@: 1st verb of {bu'a}, {bu'e}, {bu'i} series
:'''i fau le nu do djica le nu bu'a cu bu'a gau ko''' — ''If there is something you want to happen, make it happen.''",bu'a,verb,"@@@there exists some relation@@@: 1st verb of {bu'a}, {bu'e}, {bu'i} series",,verb,,,,,GOhA (BUhA),yes,selbri,,there exists,,,,,,
bu'e,"
'''bu'e''' <small>[verb]</small> — @@@there exists some relation@@@: 2nd verb of {bu'a}, {bu'e}, {bu'i} series
:'''i su'o bu'a su'o bu'e su'o bu'i zo'u lo nu bu'a cu ka'e se jalge lo nu bu'e ca lo nu bu'i''' — ''There is an event X, an event Y and event Z such that X can lead to Y during Z.''",bu'e,verb,"@@@there exists some relation@@@: 2nd verb of {bu'a}, {bu'e}, {bu'i} series",,verb,,,,,GOhA (BUhA),yes,selbri,,there exists,,,logically quantified predicate variable: some main verb 2,bu'e,"
'''bu'e''' <small>[verb]</small> — @@@there exists some relation@@@: 2nd verb of {bu'a}, {bu'e}, {bu'i} series
:'''i su'o bu'a su'o bu'e su'o bu'i zo'u le nu bu'a cu ka'e se jalge le nu bu'e ca le nu bu'i''' — ''There is an event X, an event Y and event Z such that X can lead to Y during Z.''",bu'e,verb,"@@@there exists some relation@@@: 2nd verb of {bu'a}, {bu'e}, {bu'i} series",,verb,,,,,GOhA (BUhA),yes,selbri,,there exists,,,,,,
bu'i,"
'''bu'i''' <small>[verb]</small> — @@@there exists some relation@@@: 3rd verb of {bu'a}, {bu'e}, {bu'i} series
:'''i su'o bu'a su'o bu'e su'o bu'i zo'u lo nu bu'a cu ka'e se jalge lo nu bu'e ca lo nu bu'i''' — ''There is an event X, an event Y and event Z such that X can lead to Y during Z.''",bu'i,verb,"@@@there exists some relation@@@: 3rd verb of {bu'a}, {bu'e}, {bu'i} series",,verb,,,,,GOhA (BUhA),yes,selbri,,there exists,,,logically quantified predicate variable: some main verb 3,bu'i,"
'''bu'i''' <small>[verb]</small> — @@@there exists some relation@@@: 3rd verb of {bu'a}, {bu'e}, {bu'i} series
:'''i su'o bu'a su'o bu'e su'o bu'i zo'u le nu bu'a cu ka'e se jalge le nu bu'e ca le nu bu'i''' — ''There is an event X, an event Y and event Z such that X can lead to Y during Z.''",bu'i,verb,"@@@there exists some relation@@@: 3rd verb of {bu'a}, {bu'e}, {bu'i} series",,verb,,,,,GOhA (BUhA),yes,selbri,,there exists,,,,,,
goi,"
'''goi''' — @@@that will from now on be called ...@@@ (a noun follows)
:'''i i'a da goi ko'a dinju''' — ''Okay, so there is a house, let's call it {ko'a} from now on.''
:'''i ko'a simlu lo ka zarci i je so'i prenu ta'e klama lo nenri jo'u lo bartu i ji'a cinri fa lo nu pa canko be ko'a cu spofu''' — ''ko'a looks like a store, many people go in and out. In addition, it's interesting that there is a window in ko'a that is broken.''",goi,,@@@that will from now on be called ...@@@ (a noun follows),,assigns variable to main verb,,,,ge'u,GOI,yes,,,,,,sumti assignment, used to define/assign ko'a/fo'a series pro-sumti, Latin 'sive',goi,"
'''goi''' — @@@that will from now on be called ...@@@ (a noun follows)
:'''i i'a da goi ko'a dinju''' — ''Okay, so there is a house, let's call it {ko'a} from now on.''
:'''i ko'a simlu le ka zarci i je so'i prenu ta'e klama le nenri jo'u le bartu i ji'a cinri fa le nu pa canko be ko'a cu spofu''' — ''ko'a looks like a store, many people go in and out. In addition, it's interesting that there is a window in ko'a that is broken.''",goi,,@@@that will from now on be called ...@@@ (a noun follows),,assigns variable to main verb,,,,ge'u,GOI,yes,,,,,,,
ne,"
'''ne''' — @@@which is about ...@@@ (a noun follows)
:'''i mi pu cusku no da pe le nabmi''' — ''I said nothing about the problem.''
:'''i mi ne se mau do cu clani''' — ''I'm taller than you.''",ne,,@@@which is about ...@@@ (a noun follows),,assigns variable to main verb,,,,ge'u,GOI,yes,,,"which is about ..., about ... [which is]",,,non-restrictive relative phrase marker: which incidentally is associated with ...,ne,"
'''ne''' — @@@which is about ...@@@ (a noun follows)
:'''i mi pu cusku no da pe le mi'u nabmi''' — ''I said nothing about the problem.''
:'''i mi ne se mau do cu clani''' — ''I'm taller than you.''",ne,,@@@which is about ...@@@ (a noun follows),,assigns variable to main verb,,,,ge'u,GOI,yes,,,"which is about ..., about ... [which is]",,,,,,
,---,no'u,,@@@which is the same as ...@@@ (noun follows). Use {noi du} instead,,assigns variable to selbri,,,,ge'u,GOI,,,,which is the same as ...,,,non-restrictive appositive phrase marker: which incidentally is the same thing as ...,,---,no'u,,@@@which is the same as ...@@@ (noun follows). Use {noi du} instead,,assigns variable to selbri,,,,ge'u,GOI,,,,which is the same as ...,,,,,,
pe,"
'''pe''' — @@@that is about ...@@@ (a noun follows)
:'''i ti du lo pa karce pe la alis''' — ''This is a car of my friend.''
:'''i lo pendo be mi cu jai fenki i lo pendo pe mi cu jai fenki''' — ''My friend is crazy.''
:'''i ti me lo karce pe mi''' — ''It's my own car.''
:Comment: {lo mi pendo} is the same as {lo pendo pe mi}.",pe,,@@@that is about ...@@@ (a noun follows),{lo mi pendo} is the same as {lo pendo pe mi},assigns variable to main verb,,,,ge'u,GOI,yes,,,"that is about ..., about ... [that is]",,,restrictive relative phrase marker: which is associated with ..., loosest associative/possessive,pe,"
'''pe''' — @@@that is about ...@@@ (a noun follows)
:'''i ti du le pa karce pe la alis''' — ''This is a car of my friend.''
:'''i le pendo be mi cu jai fenki i le pendo pe mi cu jai fenki''' — ''My friend is crazy.''
:'''i ti me le karce pe mi''' — ''It's my own car.''
:Comment: {lo mi pendo} is the same as {lo pendo pe mi}.",pe,,@@@that is about ...@@@ (a noun follows),{lo mi pendo} is the same as {lo pendo pe mi},assigns variable to main verb,,,,ge'u,GOI,yes,,,"that is about ..., about ... [that is]",,,,,
,---,po,,@@@that is specific to ...@@@ (a noun follows),{pe} is a more generic particle,assigns variable to main verb,,,,ge'u,GOI,,,,that is specific to ...,,,restrictive relative phrase marker: which is specific to ..., normal possessive physical/legal,,---,po,,@@@that is specific to ...@@@ (a noun follows),{pe} is a more generic particle,assigns variable to main verb,,,,ge'u,GOI,,,,that is specific to ...,,,,,
po'e,"
'''po'e''' — @@@that inalienably belongs to ...@@@ (a noun follows)
:'''i lo cidni po'e mi cu cortu''' — ''My knee aches.''
:Comment: {po'e} is used organs, limbs of body, for parental relationships. {pe} is a more generic particle.",po'e,,@@@that inalienably belongs to ...@@@ (a noun follows),"{po'e} is used organs, limbs of body, for parental relationships. {pe} is a more generic particle",assigns variable to main verb,,,,ge'u,GOI,yes,,,that inalienably belongs to ...,,,restrictive relative phrase marker: which belongs to ... , inalienable possession,po'e,"
'''po'e''' — @@@that inalienably belongs to ...@@@ (a noun follows)
:'''i le cidni po'e mi cu cortu''' — ''My knee aches.''
:Comment: {po'e} is used organs, limbs of body, for parental relationships. {pe} is a more generic particle.",po'e,,@@@that inalienably belongs to ...@@@ (a noun follows),"{po'e} is used organs, limbs of body, for parental relationships. {pe} is a more generic particle",assigns variable to main verb,,,,ge'u,GOI,yes,,,that inalienably belongs to ...,,,,,
